Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links
3 Beds,1 Bath,120 Sq. M.,"Agami, Alexandria","1,500,000",https://www.bayut.eg/en/property/details-502666713.html
3 Beds,1 Bath,120 Sq. M.,"Agami, Alexandria","1,500,000",https://www.bayut.eg/en/property/details-502666713.html
3 Beds,2 Baths,193 Sq. M.,"Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502618304.html
3 Beds,2 Baths,193 Sq. M.,"Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502618304.html
2 Beds,1 Bath,125 Sq. M.,"Sporting, Alexandria","3,800,000",https://www.bayut.eg/en/property/details-502042344.html
3 Beds,2 Baths,140 Sq. M.,"San Stefano, Alexandria","15,500,000",https://www.bayut.eg/en/property/details-205985048.html
3 Beds,2 Baths,140 Sq. M.,"San Stefano, Alexandria","15,500,000",https://www.bayut.eg/en/property/details-205985048.html
3 Beds,2 Baths,140 Sq. M.,"San Stefano, Alexandria","15,500,000",https://www.bayut.eg/en/property/details-205985048.html
3 Beds,2 Baths,165 Sq. M.,"Miami, Alexandria","3,850,000",https://www.bayut.eg/en/property/details-502661646.html
3 Beds,2 Baths,165 Sq. M.,"Miami, Alexandria","3,850,000",https://www.bayut.eg/en/property/details-502661646.html
2 Beds,2 Baths,133 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502637116.html
2 Beds,2 Baths,133 Sq. M.,"Murooj, Smoha, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502637116.html
3 Beds,1 Bath,168 Sq. M.,"Murooj, Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502668920.html
3 Beds,1 Bath,168 Sq. M.,"Murooj, Smoha, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502668920.html
3 Beds,2 Baths,153 Sq. M.,"Alex West, Agami, Alexandria","5,850,000",https://www.bayut.eg/en/property/details-502604233.html
3 Beds,2 Baths,153 Sq. M.,"Alex West, Agami, Alexandria","5,850,000",https://www.bayut.eg/en/property/details-502604233.html
3 Beds,3 Baths,206 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502606397.html
3 Beds,3 Baths,206 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502606397.html
5 Beds,5 Baths,800 Sq. M.,"Jewar, King Mariout, Alexandria","9,500,000",https://www.bayut.eg/en/property/details-502591328.html
5 Beds,5 Baths,800 Sq. M.,"Jewar, King Mariout, Alexandria","9,500,000",https://www.bayut.eg/en/property/details-502591328.html
4 Beds,3 Baths,364 Sq. M.,"King Mariout, Alexandria","16,000,000",https://www.bayut.eg/en/property/details-502590955.html
4 Beds,3 Baths,364 Sq. M.,"King Mariout, Alexandria","16,000,000",https://www.bayut.eg/en/property/details-502590955.html
4 Beds,3 Baths,196 Sq. M.,"Murooj, Smoha, Alexandria","11,760,000",https://www.bayut.eg/en/property/details-502621475.html
4 Beds,3 Baths,196 Sq. M.,"Murooj, Smoha, Alexandria","11,760,000",https://www.bayut.eg/en/property/details-502621475.html
3 Beds,2 Baths,155 Sq. M.,"Al Ibrahimiyyah, Alexandria","4,100,000",https://www.bayut.eg/en/property/details-502589379.html
3 Beds,2 Baths,155 Sq. M.,"Al Ibrahimiyyah, Alexandria","4,100,000",https://www.bayut.eg/en/property/details-502589379.html
3 Beds,2 Baths,120 Sq. M.,"Orouba Skyline, Smoha, Alexandria","4,700,000",https://www.bayut.eg/en/property/details-502609325.html
3 Beds,2 Baths,120 Sq. M.,"Orouba Skyline, Smoha, Alexandria","4,700,000",https://www.bayut.eg/en/property/details-502609325.html
3 Beds,2 Baths,144 Sq. M.,"Smoha, Alexandria","4,800,000",https://www.bayut.eg/en/property/details-502616470.html
3 Beds,2 Baths,144 Sq. M.,"Smoha, Alexandria","4,800,000",https://www.bayut.eg/en/property/details-502616470.html
6 Beds,6 Baths,800 Sq. M.,"King Mariout, Alexandria","9,500,000",https://www.bayut.eg/en/property/details-502605822.html
6 Beds,6 Baths,800 Sq. M.,"King Mariout, Alexandria","9,500,000",https://www.bayut.eg/en/property/details-502605822.html
3 Beds,1 Bath,160 Sq. M.,"Waboor Elmayah, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502613762.html
3 Beds,1 Bath,160 Sq. M.,"Waboor Elmayah, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502613762.html
3 Beds,2 Baths,145 Sq. M.,"Murooj, Smoha, Alexandria","5,492,000",https://www.bayut.eg/en/property/details-502549925.html
3 Beds,2 Baths,145 Sq. M.,"Murooj, Smoha, Alexandria","5,492,000",https://www.bayut.eg/en/property/details-502549925.html
3 Beds,2 Baths,130 Sq. M.,"Smoha, Alexandria","3,150,000",https://www.bayut.eg/en/property/details-502614327.html
3 Beds,2 Baths,130 Sq. M.,"Smoha, Alexandria","3,150,000",https://www.bayut.eg/en/property/details-502614327.html
4 Beds,2 Baths,182 Sq. M.,"Laurent, Alexandria","6,250,000",https://www.bayut.eg/en/property/details-502579951.html
4 Beds,2 Baths,182 Sq. M.,"Laurent, Alexandria","6,250,000",https://www.bayut.eg/en/property/details-502579951.html
3 Beds,2 Baths,150 Sq. M.,"Bolkly, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502641656.html
3 Beds,2 Baths,150 Sq. M.,"Bolkly, Alexandria","6,000,000",https://www.bayut.eg/en/property/details-502641656.html
2 Beds,2 Baths,123 Sq. M.,"Murooj, Smoha, Alexandria","5,050,000",https://www.bayut.eg/en/property/details-502603105.html
2 Beds,2 Baths,123 Sq. M.,"Murooj, Smoha, Alexandria","5,050,000",https://www.bayut.eg/en/property/details-502603105.html
3 Beds,2 Baths,170 Sq. M.,"Al Ibrahimiyyah, Alexandria","5,300,000",https://www.bayut.eg/en/property/details-502635633.html
3 Beds,2 Baths,170 Sq. M.,"Al Ibrahimiyyah, Alexandria","5,300,000",https://www.bayut.eg/en/property/details-502635633.html
2 Beds,1 Bath,134 Sq. M.,"Fayrouzit Smouha, Smoha, Alexandria","3,650,000",https://www.bayut.eg/en/property/details-502576617.html
2 Beds,1 Bath,134 Sq. M.,"Fayrouzit Smouha, Smoha, Alexandria","3,650,000",https://www.bayut.eg/en/property/details-502576617.html
5 Beds,5 Baths,600 Sq. M.,"Borg al-Arab, Alexandria","26,500,000",https://www.bayut.eg/en/property/details-502518803.html
5 Beds,5 Baths,600 Sq. M.,"Borg al-Arab, Alexandria","26,500,000",https://www.bayut.eg/en/property/details-502518803.html
3 Beds,1 Bath,125 Sq. M.,"Moharam Bik, Alexandria","1,800,000",https://www.bayut.eg/en/property/details-502641630.html
3 Beds,1 Bath,125 Sq. M.,"Moharam Bik, Alexandria","1,800,000",https://www.bayut.eg/en/property/details-502641630.html
3 Beds,3 Baths,227 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,600,000",https://www.bayut.eg/en/property/details-502522346.html
3 Beds,3 Baths,227 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,600,000",https://www.bayut.eg/en/property/details-502522346.html
3 Beds,2 Baths,145 Sq. M.,"Moharam Bik, Alexandria","3,200,000",https://www.bayut.eg/en/property/details-502596622.html
7 Beds,6 Baths,700 Sq. M.,"Alex West, Agami, Alexandria","32,000,000",https://www.bayut.eg/en/property/details-502539270.html
7 Beds,6 Baths,700 Sq. M.,"Alex West, Agami, Alexandria","32,000,000",https://www.bayut.eg/en/property/details-502539270.html
7 Beds,6 Baths,700 Sq. M.,"Alex West, Agami, Alexandria","32,000,000",https://www.bayut.eg/en/property/details-502539270.html
3 Beds,2 Baths,182 Sq. M.,"Valore, Smoha, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502613904.html
3 Beds,2 Baths,182 Sq. M.,"Valore, Smoha, Alexandria","8,200,000",https://www.bayut.eg/en/property/details-502613904.html
3 Beds,1 Bath,135 Sq. M.,"Sidi Beshr, Alexandria","3,300,000",https://www.bayut.eg/en/property/details-502570132.html
3 Beds,1 Bath,135 Sq. M.,"Sidi Beshr, Alexandria","3,300,000",https://www.bayut.eg/en/property/details-502570132.html
2 Beds,2 Baths,140 Sq. M.,"Sidi Gaber, Alexandria","3,400,000",https://www.bayut.eg/en/property/details-502602654.html
2 Beds,2 Baths,140 Sq. M.,"Sidi Gaber, Alexandria","3,400,000",https://www.bayut.eg/en/property/details-502602654.html
3 Beds,2 Baths,175 Sq. M.,"Miami, Alexandria","2,000,000",https://www.bayut.eg/en/property/details-502436574.html
3 Beds,2 Baths,175 Sq. M.,"Miami, Alexandria","2,000,000",https://www.bayut.eg/en/property/details-502436574.html
320 Sq. M.,"Moharam Bik, Alexandria","1,850,000",,,https://www.bayut.eg/en/property/details-202208100.html
320 Sq. M.,"Moharam Bik, Alexandria","1,850,000",,,https://www.bayut.eg/en/property/details-202208100.html
5 Beds,4 Baths,600 Sq. M.,"San Stefano, Alexandria","37,000,000",https://www.bayut.eg/en/property/details-204447917.html
5 Beds,4 Baths,600 Sq. M.,"San Stefano, Alexandria","37,000,000",https://www.bayut.eg/en/property/details-204447917.html
2 Beds,1 Bath,130 Sq. M.,"Miami, Alexandria","3,000,000",https://www.bayut.eg/en/property/details-203645373.html
2 Beds,1 Bath,130 Sq. M.,"Miami, Alexandria","3,000,000",https://www.bayut.eg/en/property/details-203645373.html
