Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links,Seller Name,Seller Link
2 Beds,1 Bath,135 Sq. M.,"Saba Pasha, Alexandria","4,750,000",https://www.bayut.eg/en/property/details-502618688.html,Noureen El-Amrawy,https://www.bayut.eg/en/brokers/noureen-el-amrawy-00000000-3153-801f-8000-024213371337.html
2 Beds,1 Bath,135 Sq. M.,"Saba Pasha, Alexandria","4,750,000",https://www.bayut.eg/en/property/details-502618688.html,Noureen El-Amrawy,https://www.bayut.eg/en/brokers/noureen-el-amrawy-00000000-3153-801f-8000-024213371337.html
3 Beds,1 Bath,141 Sq. M.,"Fayrouzit Smouha, Smoha, Alexandria","3,650,000",https://www.bayut.eg/en/property/details-502524746.html,Noureen El-Amrawy,https://www.bayut.eg/en/brokers/noureen-el-amrawy-00000000-3153-801f-8000-024213371337.html
3 Beds,1 Bath,141 Sq. M.,"Fayrouzit Smouha, Smoha, Alexandria","3,650,000",https://www.bayut.eg/en/property/details-502524746.html,Noureen El-Amrawy,https://www.bayut.eg/en/brokers/noureen-el-amrawy-00000000-3153-801f-8000-024213371337.html
4 Beds,2 Baths,215 Sq. M.,"Sidi Beshr, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502332245.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
4 Beds,2 Baths,215 Sq. M.,"Sidi Beshr, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502332245.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
3 Beds,3 Baths,220 Sq. M.,"Laurent, Alexandria","8,000,000",https://www.bayut.eg/en/property/details-502319615.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
3 Beds,3 Baths,220 Sq. M.,"Laurent, Alexandria","8,000,000",https://www.bayut.eg/en/property/details-502319615.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
2 Beds,2 Baths,120 Sq. M.,"Sidi Beshr, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502264056.html,Noureen El-Amrawy,https://www.bayut.eg/en/brokers/noureen-el-amrawy-00000000-3153-801f-8000-024213371337.html
2 Beds,2 Baths,120 Sq. M.,"Sidi Beshr, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502264056.html,Noureen El-Amrawy,https://www.bayut.eg/en/brokers/noureen-el-amrawy-00000000-3153-801f-8000-024213371337.html
3 Beds,2 Baths,215 Sq. M.,"Bolkly, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502293198.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
3 Beds,2 Baths,215 Sq. M.,"Bolkly, Alexandria","5,500,000",https://www.bayut.eg/en/property/details-502293198.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
3 Beds,1 Bath,135 Sq. M.,"Bolkly, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-501928880.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
3 Beds,1 Bath,135 Sq. M.,"Bolkly, Alexandria","3,250,000",https://www.bayut.eg/en/property/details-501928880.html,Mostafa Sayed,https://www.bayut.eg/en/brokers/mostafa-sayed-afddd655-ab12-4d11-922f-ba99bdc8b25c.html
"1,000 Sq. M.","Moharam Bik, Alexandria","3,000,000",,,https://www.bayut.eg/en/property/details-502465343.html,شركة الفتح المبين للتسويق العقاري,nan
"1,000 Sq. M.","Moharam Bik, Alexandria","3,000,000",,,https://www.bayut.eg/en/property/details-502465343.html,شركة الفتح المبين للتسويق العقاري,nan
